name,address,website,founders_names,founders_linkedin,batch,year,yc_url,per_company_api
AgileMD,"San Francisco, CA, USA; Remote",https://agilemd.com,Borna Safabakhsh; Founded: 2011 Batch: Summer 2011 Team Size: 19 Status: Active Location: San Francisco,https://www.linkedin.com/in/bornas/; https://www.linkedin.com/company/agilemd/,Summer 2011,2011,https://www.ycombinator.com/companies/agilemd,https://yc-oss.github.io/api/batches/summer-2011/agilemd.json
MarketBrief,"San Francisco, CA, USA",http://marketbrief.com,,,Summer 2011,2011,https://www.ycombinator.com/companies/marketbrief,https://yc-oss.github.io/api/batches/summer-2011/marketbrief.json
Quad,"San Francisco, CA, USA",http://thequad.com,Batch: Summer 2011 Team Size: 12 Status: Inactive Location: San Francisco; Sagar Shah,https://www.linkedin.com/company/thequad/; https://www.linkedin.com/in/sagarshah1,Summer 2011,2011,https://www.ycombinator.com/companies/quad,https://yc-oss.github.io/api/batches/summer-2011/quad.json
Dubjoy,"San Francisco, CA, USA",http://dubjoy.com,Robert Farazin; Rok Gregorič; Miha Rebernik,https://www.linkedin.com/in/robertfarazin/; http://linkedin.com/in/rokgregoric; https://www.linkedin.com/in/miharebernik,Summer 2011,2011,https://www.ycombinator.com/companies/dubjoy,https://yc-oss.github.io/api/batches/summer-2011/dubjoy.json
Zenbox,"San Francisco, CA, USA",http://zenboxapp.com,Sean Grove; Kev Zettler,https://www.linkedin.com/in/segrove/; https://www.linkedin.com/in/kev-zettler-10b34316/,Summer 2011,2011,https://www.ycombinator.com/companies/zenbox,https://yc-oss.github.io/api/batches/summer-2011/zenbox.json
Realm,"San Francisco, CA, USA; Copenhagen, Denmark",http://realm.io,Alexander Stigsen; Bjarne Christiansen,https://www.linkedin.com/in/astigsen/; https://www.linkedin.com/in/bjchrist,Summer 2011,2011,https://www.ycombinator.com/companies/realm,https://yc-oss.github.io/api/batches/summer-2011/realm.json
Firebase,"Mountain View, CA, USA",http://firebase.com,James Tamplin; Andrew Lee,https://linkedin.com/in/jamest; https://www.linkedin.com/in/startupandrew/,Summer 2011,2011,https://www.ycombinator.com/companies/firebase,https://yc-oss.github.io/api/batches/summer-2011/firebase.json
GoCardless,"London, England, United Kingdom",http://gocardless.com,"Hiroki Takeuchi; Tom Blomfield; Founded: 2011 Batch: Summer 2011 Team Size: 900 Status: Active Location: London, United Kingdom",https://www.linkedin.com/in/hirokitakeuchi/; https://www.linkedin.com/in/tomblomfield; https://www.linkedin.com/company/gocardless/,Summer 2011,2011,https://www.ycombinator.com/companies/gocardless,https://yc-oss.github.io/api/batches/summer-2011/gocardless.json
Pagelever,"San Francisco, CA, USA",http://pagelever.com,David Turner; Jeff Widman,https://linkedin.com/in/wdavidturner; https://linkedin.com/in/jeffwidman,Summer 2011,2011,https://www.ycombinator.com/companies/pagelever,https://yc-oss.github.io/api/batches/summer-2011/pagelever.json
Embark,"San Francisco, CA, USA",letsembark.com,,,Summer 2011,2011,https://www.ycombinator.com/companies/embark,https://yc-oss.github.io/api/batches/summer-2011/embark.json
Fobo,"San Francisco, CA, USA",http://fobo.net,Ryan Mickle; Ed McManus,https://linkedin.com/in/mickle; https://www.linkedin.com/in/emcmanus,Summer 2011,2011,https://www.ycombinator.com/companies/fobo,https://yc-oss.github.io/api/batches/summer-2011/fobo.json
Sift,"San Francisco, CA, USA",https://sift.com/,Jason Tan; Founded: 2011 Batch: Summer 2011 Status: Active Location: San Francisco,http://www.linkedin.com/in/jas0ntan; https://www.linkedin.com/company/getsift/,Summer 2011,2011,https://www.ycombinator.com/companies/sift,https://yc-oss.github.io/api/batches/summer-2011/sift.json
Verbling,"San Francisco, CA, USA",http://verbling.com,Batch: Summer 2011 Team Size: 2 Status: Acquired Location: San Francisco; Mikael Bernstein,https://www.linkedin.com/company/verbling/; https://www.linkedin.com/in/mikaelbernstein/,Summer 2011,2011,https://www.ycombinator.com/companies/verbling,https://yc-oss.github.io/api/batches/summer-2011/verbling.json
Caviar,"San Francisco, CA, USA",http://trycaviar.com,Jason Wang; Richard Din; Tony (Shi) Li; Andy Zhang,https://www.linkedin.com/in/jwang815/; http://linkedin.com/in/rdin86; https://www.linkedin.com/in/tonyshili/; https://www.linkedin.com/in/andyczhang/,Summer 2011,2011,https://www.ycombinator.com/companies/caviar,https://yc-oss.github.io/api/batches/summer-2011/caviar.json
LeadGenius,"Berkeley, CA, USA",http://leadgenius.com,Anand Kulkarni; Prayag Narula; Philipp Gutheim; Dave Rolnitzky,https://linkedin.com/in/anandpkulkarni/; https://linkedin.com/in/prayagnarula/; https://www.linkedin.com/in/gutheim; https://www.linkedin.com/in/rolnitzky/,Summer 2011,2011,https://www.ycombinator.com/companies/leadgenius,https://yc-oss.github.io/api/batches/summer-2011/leadgenius.json
Interstate,"San Francisco, CA, USA",http://interstateapp.com,Simon Fletcher,https://www.linkedin.com/in/simonandrewfletcher/,Summer 2011,2011,https://www.ycombinator.com/companies/interstate,https://yc-oss.github.io/api/batches/summer-2011/interstate.json
Y Combinator,,https://www.ycombinator.com,Oliver; Zach; Jessica Livingston,https://www.linkedin.com/in/oliverortlieb/; https://www.linkedin.com/in/zach-kamran/; https://www.linkedin.com/in/jessicalivingston1,Unspecified,0,https://www.ycombinator.com/companies/y-combinator,https://yc-oss.github.io/api/batches/unspecified/y-combinator.json
